Model Type,Hidden Size,Num Layers,Dropout,Learning Rate,Num Epochs,Early Stopping,Patience,Accuracy,Loss
dense,256,2,0.1,0.0005,200,True,5,0.755,0.9515847563743591
rnn,256,1,0.1,0.0005,100,True,5,0.755,0.974382758140564
cnn,256,4,0.5,0.0005,100,True,5,0.755,1.1244611740112305
rnn,256,2,0.3,0.0005,200,True,5,0.755,0.9287983775138855
dense,256,1,0.05,0.001,200,True,5,0.75,0.9241974353790283
dense,256,4,0.3,0.001,100,True,5,0.75,0.9011102318763733
dense,256,2,0.01,0.001,100,True,5,0.75,0.9177303314208984
dense,128,1,0.5,0.001,200,True,5,0.745,0.9224489331245422
dense,256,3,0.01,0.0002,200,True,5,0.745,0.9579944610595703
dense,256,2,0.05,0.001,100,True,5,0.745,0.904284656047821
dense,128,3,0.01,0.001,100,True,5,0.745,0.9443933963775635
rnn,256,3,0.01,0.0002,100,True,5,0.745,0.9610514640808105
rnn,256,2,0.1,0.001,50,True,5,0.745,1.2668225765228271
cnn,128,5,0.3,0.001,100,True,5,0.745,1.106926679611206
dense,256,5,0.1,0.0001,200,True,5,0.74,1.0331650972366333
rnn,256,2,0.05,0.0005,100,True,5,0.74,0.9407153129577637
dense,256,4,0.05,0.001,200,True,5,0.74,0.8501109480857849
rnn,256,1,0.1,0.001,200,True,5,0.74,0.9475293755531311
dense,256,3,0.3,0.001,50,True,5,0.74,0.8741116523742676
dense,256,2,0.3,0.001,100,True,5,0.74,0.9142314791679382
rnn,256,2,0.05,0.0002,100,True,5,0.74,0.9702257513999939
rnn,256,1,0.05,0.0002,200,True,5,0.74,0.9143366813659668
dense,256,2,0.3,0.0005,100,True,5,0.74,0.904458224773407
rnn,256,2,0.05,0.0001,200,True,5,0.74,1.023532748222351
rnn,256,1,0.05,0.001,50,True,5,0.735,0.9834306836128235
rnn,256,3,0.01,0.001,200,True,5,0.735,1.0125246047973633
rnn,256,3,0.05,0.0002,100,True,5,0.735,0.9585748910903931
rnn,128,2,0.01,0.001,100,True,5,0.735,0.9438304901123047
dense,256,3,0.05,0.001,200,True,5,0.735,0.9667356014251709
dense,64,1,0.05,0.001,200,True,5,0.735,0.988443911075592
rnn,256,3,0.3,0.0005,100,True,5,0.735,0.9584628939628601
rnn,256,2,0.3,0.0001,200,True,5,0.735,0.9549400806427002
dense,256,5,0.1,0.001,100,True,5,0.735,0.889905571937561
rnn,256,1,0.1,0.001,100,True,5,0.735,0.9731401205062866
dense,256,3,0.3,0.0005,100,True,5,0.735,0.9080849289894104
dense,256,4,0.05,0.0005,100,True,5,0.735,0.9370511770248413
rnn,256,1,0.3,0.001,200,True,5,0.73,0.9635388851165771
cnn,128,3,0.5,0.0002,200,True,5,0.73,0.9586547017097473
rnn,256,2,0.1,0.001,200,True,5,0.73,0.975345253944397
dense,256,5,0.5,0.0005,200,True,5,0.73,0.8944998979568481
dense,256,4,0.3,0.0005,200,True,5,0.73,0.8757984638214111
dense,256,1,0.05,0.0002,200,True,5,0.73,0.9727304577827454
rnn,128,4,0.05,0.001,200,True,5,0.73,1.0505207777023315
rnn,256,1,0.05,0.0005,100,True,5,0.73,0.9713712334632874
rnn,256,2,0.1,0.0005,200,True,5,0.73,0.9716899991035461
rnn,128,3,0.5,0.001,200,True,5,0.73,0.9393642544746399
dense,256,4,0.1,0.001,100,True,5,0.73,0.9765366911888123
rnn,256,2,0.5,0.0005,200,True,5,0.73,0.9215152859687805
rnn,256,1,0.5,0.001,100,True,5,0.73,0.9383127689361572
rnn,128,2,0.01,0.0002,200,True,5,0.73,0.9755344986915588
rnn,256,2,0.5,0.001,100,True,5,0.73,0.9336565136909485
rnn,256,2,0.01,0.0005,50,True,5,0.73,1.5774126052856445
dense,256,4,0.05,0.001,50,True,5,0.73,0.9582763910293579
dense,256,5,0.5,0.001,100,True,5,0.73,0.8776757121086121
dense,256,3,0.05,0.0002,200,True,5,0.73,0.9319213032722473
rnn,128,1,0.1,0.0005,200,True,5,0.73,0.954545259475708
